player,EScore,EType,PlayStyle,SessionVariance,RecentActivityRatio,Loyalty,UserValue,EScoreRank
1002000,42.25,Core,Balance,44.67,0.50,48.70,High,720
1002862,42.23,Core,Balance,54.97,0.50,45.91,High,721
1002449,42.22,Core,Balance,31.81,0.47,19.00,Low,722
1002134,42.21,Core,Balance,30.87,0.42,25.39,Low,723
1002653,42.10,Core,Balance,62.16,0.50,40.18,Medium,724
1002310,42.08,Core,Balance,33.59,0.55,30.58,Medium,725
1002181,42.02,Core,Balance,34.93,0.47,21.97,Low,726
1002474,41.90,Core,Balance,68.25,0.67,38.61,Medium,727
1002592,41.86,Core,Balance,52.03,0.63,49.76,High,728
1002386,41.80,Core,Balance,37.01,0.50,20.69,Low,729
1002030,41.79,Core,Balance,45.85,0.50,50.18,High,730
1002255,41.78,Core,Balance,35.8,0.45,50.19,High,731
1002043,41.73,Core,Balance,35.54,0.56,46.60,High,732
1002806,41.71,Core,Balance,22.72,0.47,23.02,Low,733
1002985,41.71,Core,Balance,30.62,0.46,28.28,Low,734
1002909,41.70,Core,Balance,50.77,0.43,39.72,Medium,735
1002342,41.67,Core,Balance,41.95,0.44,52.27,High,736
1002889,41.65,Core,Balance,19.07,0.42,19.78,Low,737
1003000,41.64,Core,Burst,20.07,0.46,17.89,Low,738
1002660,41.63,Core,Balance,53.8,0.57,40.01,Medium,739
1002460,41.62,Core,Balance,30.28,0.50,20.84,Low,740
1002766,41.59,Core,Balance,49.5,0.57,52.54,High,741
1002006,41.56,Core,Balance,35.5,0.56,52.79,High,742
1002968,41.55,Core,Balance,36.14,0.38,25.91,Low,743
1002082,41.54,Core,Balance,50.34,0.56,44.26,Medium,744
1002896,41.51,Core,Balance,52.46,0.63,45.30,High,745
1002548,41.51,Core,Balance,34.29,0.44,53.24,High,746
1002165,41.51,Core,Balance,38.64,0.58,30.95,Medium,747
1002814,41.51,Core,Burst,20.41,0.58,17.72,Low,747
1002496,41.50,Core,Balance,46.9,0.55,34.28,Medium,749
1002373,41.50,Core,Balance,41.19,0.50,46.49,High,749
1002265,41.50,Core,Balance,24.12,0.50,19.32,Low,749
1002545,41.48,Core,Balance,55.92,0.45,32.40,Medium,752
1002878,41.46,Core,Balance,34.3,0.57,19.42,Low,753
1002894,41.46,Core,Balance,37.01,0.44,52.35,High,754
1002349,41.40,Core,Burst,26.76,0.53,18.62,Low,755
1002301,41.33,Core,Balance,25.77,0.50,20.43,Low,756
1002755,41.33,Core,Balance,61.73,0.57,42.25,Medium,757
1002875,41.30,Core,Balance,37.11,0.47,29.54,Medium,758
1002363,41.30,Core,Burst,12.09,0.58,16.74,Low,758
1002928,41.28,Core,Balance,27.54,0.50,23.79,Low,760
1002256,41.19,Core,Balance,50,0.50,48.38,High,761
1002063,41.14,Core,Balance,31.76,0.38,46.73,High,762
1002920,41.08,Core,Burst,25.2,0.50,15.96,Low,763
1002835,41.07,Core,Balance,29.9,0.50,21.47,Low,764
1002557,41.05,Core,Balance,47.84,0.45,33.66,Medium,765
1002080,41.01,Core,Balance,19.51,0.44,19.46,Low,766
1002385,41.01,Core,Balance,28.3,0.43,24.33,Low,767
1002319,41.00,Core,Balance,38.88,0.46,24.34,Low,768
1002662,40.98,Core,Balance,36.79,0.50,48.42,High,769
1002162,40.98,Core,Balance,69.21,0.50,51.25,High,769
1002789,40.98,Core,Balance,33.85,0.53,24.84,Low,771
1002070,40.93,Core,Balance,57.52,0.50,44.39,High,772
1002764,40.92,Core,Balance,25.44,0.43,26.17,Low,773
1002668,40.88,Core,Balance,29.37,0.67,47.10,High,774
1002688,40.88,Core,Balance,34.31,0.50,44.31,Medium,775
1002462,40.86,Core,Balance,29.74,0.57,24.44,Low,776
1002589,40.85,Core,Burst,26.08,0.55,18.19,Low,777
1002900,40.75,Core,Balance,29.84,0.50,25.83,Low,778
1002122,40.73,Core,Balance,17.44,0.44,16.67,Low,779
1002655,40.70,Core,Balance,42.79,0.50,29.30,Medium,780
1002536,40.65,Core,Balance,28.68,0.50,30.30,Medium,781
1002628,40.63,Core,Balance,42.37,0.50,30.37,Medium,782
1002916,40.58,Core,Burst,18.98,0.38,13.91,Low,783
1002992,40.53,Core,Balance,44.09,0.56,50.67,High,784
1002929,40.51,Core,Balance,28.32,0.45,22.44,Low,785
1002183,40.50,Core,Balance,40.8,0.57,46.86,High,786
1002996,40.49,Core,Balance,27.86,0.56,21.49,Low,787
1002471,40.47,Core,Balance,18.73,0.55,30.09,Medium,788
1002748,40.47,Core,Balance,30.21,0.56,47.19,High,789
1002642,40.46,Core,Balance,22.64,0.45,22.82,Low,790
1002935,40.40,Core,Balance,50.51,0.67,39.57,Medium,791
1002791,40.34,Core,Balance,39.54,0.44,25.42,Low,792
1002899,40.29,Core,Balance,51.94,0.44,30.92,Medium,793
1002797,40.28,Core,Balance,22.87,0.56,19.06,Low,794
